,School/Club Team
Albacomp (Hungary)[n 14],1
Weber St. (Jr.),1
Connecticut (Fr.),1
Iowa St. (So.),1
Poitiers Basket (France),1
Ohio St. (So.),1
Oregon St. (Jr.),1
Mississippi St. (Jr.),1
Baylor (So.),1
Banca Cívica Sevilla (Spain),1
Florida St. (Sr.),1
Michigan St. (Sr.),1
Norfolk St. (Sr.),1
Banvit (Turkey),1
Clinicas Rincón (Spain),1
Galatasaray (Turkey),1
Spirou Charleroi (Belgium),1
Pınar Karşıyaka (Turkey),1
Lehigh (Sr.),1
North Dakota (Sr),1
Arkansas-Little Rock (Sr.),1
UCLA (Sr),1
Wagner (Sr.),1
Lambuth (Sr.),1
Hampton (Jr.),1
Northern State (Sr.),1
Potsdam State (Sr.),1
Lewis & Clark (Sr.),1
Wichita State (Jr.),1
Upsala (Sr.),1
Mount St. Mary's (Sr.),1
Siena (Sr.),1
Georgetown (Kentucky) (Sr.),1
LIU (Sr.),1
South Carolina State (Sr.),1
Elizabeth City State (Sr.),1
Cheyney (Sr.),1
Ionikos Nikaias (Greece),1
Marion (Sr.),1
Campbell (Sr.),1
Wisconsin–Stout (Sr.),1
York (Sr.),1
Valdosta State (Sr.),1
Simon Fraser (Sr.),1
North Texas State (Sr.),1
Thomas More (Sr.),1
Steubenville (Sr.),1
Morris Brown (Sr.),1
Nebraska–Kearney (Sr.),1
Regis (Sr.),1
Eastern Montana (Sr.),1
Yeshiva (Sr.),1
King's College (Pennsylvania) (Sr.),1
Arizona State(Sr.),1
Texas A&I (Sr.),1
Colgate (Sr.),1
Valur (Iceland),1
Jersey City State (Sr.),1
Southern Colorado (Sr.),1
William Paterson (Sr.),1
Ripon (Sr.),1
Northern Michigan (Sr.),1
Saint Francis (Sr.),1
Wofford (Sr.),1
Sumitomo Metal Sparks (Japan),1
McMurry (Sr.),1
(Sudan),1
Complutense University of Madrid (Spain),1
Sam Houston (Jr.),1
Calgary (Sr.),1
Doane (Sr.),1
UTSA (Sr.),1
North Dakota State (Sr.),1
S.E. Palmeiras (Brazil),1
Cal State Northridge (Sr.),1
Southern Utah (Sr.),1
Bloomsburg (Sr.),1
Framingham State (Sr.),1
US International (Sr.),1
Oberlin (Sr.),1
Angelo State (Sr.),1
UC San Diego (Sr.),1
Presbyterian (Sr.),1
Westmont (Sr.),1
UNC Pembroke (Sr.),1
Bellarmine (Sr.),1
Northeastern Illinois (Sr.),1
Northwest Missouri State (Sr.),1
