Rank,Name,Team,Pos,AVG,ESPN,CBS,Yahoo,Underdog,Fantrax,ESPN AAV,Status,Injury,Year
223,Tyrell Terry,FA,G,139.9,139.94,-,-,-,-,-1.0,,,21
223,Luke Babbitt,FA,F,139.9,139.9,-,-,-,-,-1.0,,,21
223,Tyrone Wallace,FA,G,139.9,139.94,-,-,-,-,-1.0,,,21
223,Tayshaun Prince,FA,F,139.9,139.94,-,-,-,-,-1.0,,,21
223,Justin James,FA,G,139.9,139.94,-,-,-,-,-1.0,,,21
223,Mike James,FA,G,139.9,139.94,-,-,-,-,-1.0,,,21
223,Jason Terry,FA,G,139.9,139.94,-,-,-,-,-1.0,,,21
223,Pau Gasol,FA,C,139.9,139.94,-,-,-,-,-1.0,,,21
223,Ryan Arcidiacono,FA,G,139.9,139.94,-,-,-,-,-1.0,,,21
223,Markus Howard,FA,G,139.9,139.94,-,-,-,-,-1.0,,,21
223,Marquis Teague,FA,G,139.9,139.94,-,-,-,-,-1.0,,,21
223,Lorenzo Brown,FA,G,139.9,139.94,-,-,-,-,-1.0,,,21
223,Phil Pressey,FA,G,139.9,139.94,-,-,-,-,-1.0,,,21
223,Tim Frazier,FA,G,139.9,139.94,-,-,-,-,-1.0,,,21
223,Edmond Sumner,FA,G,139.9,139.93,-,-,-,-,-1.0,,,21
223,Trevon Duval,FA,G,139.9,139.92,-,-,-,-,-1.0,,,21
223,Justin Jackson,FA,F,139.9,139.93,-,-,-,-,-1.0,,,21
223,Jake Layman,FA,F,139.9,139.93,-,-,-,-,-1.0,,,21
223,Jason Thompson,FA,F,139.9,139.92,-,-,-,-,-1.0,,,21
223,Al Jefferson,FA,C,139.9,139.92,-,-,-,-,-1.0,,,21
223,Ky Bowman,FA,G,139.9,139.92,-,-,-,-,-1.0,,,21
223,Trevor Booker,FA,F,139.9,139.92,-,-,-,-,-1.0,,,21
223,Jacob Pullen,FA,G,139.9,139.93,-,-,-,-,-1.0,,,21
223,Svi Mykhailiuk,BOS,G,139.9,139.93,-,-,-,-,-1.0,,,21
223,Luke Kornet,BOS,C,139.9,139.93,-,-,-,-,-1.0,,,21
223,Jared Harper,FA,G,139.9,139.93,-,-,-,-,-1.0,,,21
223,Jarrett Jack,FA,G,139.9,139.93,-,-,-,-,-1.0,,,21
223,Trent Forrest,ATL,G,139.9,139.93,-,-,-,-,-1.0,,,21
223,Rodney McGruder,FA,G,139.9,139.93,-,-,-,-,-1.0,,,21
223,Bryn Forbes,FA,G,139.9,139.93,-,-,-,-,-1.0,,,21
223,Mario Hezonja,FA,F,139.9,139.93,-,-,-,-,-1.0,,,21
223,Terence Davis,FA,F,139.9,139.93,-,-,-,-,-1.0,,,21
223,Miye Oni,ORL,G,139.9,139.93,-,-,-,-,-1.0,,,21
223,Jerome Robinson,GSW,G,139.9,139.93,-,-,-,-,-1.0,,,21
